Gene	Expression
MgIM767.14G106900	308.3012605492909
MgIM767.14G269300	308.22749095493214
MgIM767.14G261200	308.177879855003
MgIM767.02G049800	307.93925222521034
MgIM767.13G036500	307.6336453631594
MgIM767.07G036700	305.1013366186182
MgIM767.07G051000	304.11716311827115
MgIM767.07G039300	304.0566733023894
MgIM767.14G254000	302.4036214097692
MgIM767.10G024100	301.22467157474154
MgIM767.12G124200	301.0014213552821
MgIM767.14G028400	300.6670453223347
MgIM767.14G184100	300.1242282813509
MgIM767.09G065100	299.7409266440272
MgIM767.06G006000	299.6980554796676
MgIM767.05G041800	299.41168643707
MgIM767.08G106300	299.05158226034297
MgIM767.03G079700	298.8849943176876
MgIM767.04G098100	298.2233625739539
MgIM767.08G223200	296.92183942550633
MgIM767.11G120400	296.62784503983625
MgIM767.03G129100	296.6174440793933
MgIM767.01G030900	295.5933309647809
MgIM767.02G036300	293.5458895637777
MgIM767.07G068400	293.3747838617679
MgIM767.02G032500	292.50669653318727
MgIM767.14G092100	292.09591405049537
MgIM767.04G163800	291.9848220209295
MgIM767.12G109700	291.2299097439437
MgIM767.07G091100	290.67658612215524
MgIM767.02G094100	290.4129681507196
MgIM767.11G049700	290.08229437055326
MgIM767.08G056800	287.9935423969362
MgIM767.06G090700	287.5488585560361
MgIM767.05G114100	287.0757206251097
MgIM767.09G052100	284.70460823103446
MgIM767.08G137000	284.00753372605885
MgIM767.11G067200	283.3260569379016
MgIM767.10G042100	283.05120614049207
MgIM767.02G024900	282.97230915779386
MgIM767.06G073700	282.85704723118454
MgIM767.11G069200	282.5496570562677
MgIM767.07G020700	282.3430173365137
MgIM767.08G182800	281.59042497154974
MgIM767.04G118100	281.10700152407907
MgIM767.14G236800	280.88768317780904
MgIM767.04G195000	278.087553667174
MgIM767.06G015200	276.5527074950626
MgIM767.06G122500	275.6428773100329
MgIM767.03G096700	275.4328708784393
MgIM767.14G134800	274.6533175085
MgIM767.06G152500	274.368773590858
MgIM767.13G155400	272.9566151492537
MgIM767.07G101200	272.46233078942896
MgIM767.02G067100	272.41523835319254
MgIM767.09G089400	272.11466316078935
MgIM767.12G166300	271.6462587594195
MgIM767.14G276200	271.52824587773654
MgIM767.14G294900	271.32863016474823
MgIM767.13G172300	270.7637573516228
MgIM767.14G117700	270.6923983351169
MgIM767.08G218500	270.2230548123261
MgIM767.14G027500	269.7752134014416
MgIM767.09G091900	269.75459238186403
MgIM767.02G027100	269.24944614415784
MgIM767.02G082900	269.1175722811039
MgIM767.14G281400	268.40400588581383
MgIM767.14G082700	268.3710980096264
MgIM767.04G030500	267.3918033452248
MgIM767.06G096200	266.92010404644134
MgIM767.12G010400	266.7490818886071
MgIM767.13G091500	266.42176174055186
MgIM767.04G044900	265.7655417650839
MgIM767.10G139300	265.758322447703
MgIM767.06G011100	265.35316239627736
MgIM767.07G073700	264.4262768803223
MgIM767.04G201600	264.182959382398
MgIM767.12G143700	263.8342178573935
MgIM767.04G204300	263.7980784978284
MgIM767.01G039100	262.4956084485332
MgIM767.13G139700	261.9745381391593
MgIM767.03G077300	261.16957030582154
MgIM767.10G082700	260.30965400945365
MgIM767.13G184800	260.07195152429404
MgIM767.02G123800	259.6471577584898
MgIM767.13G192400	259.50176460324786
MgIM767.13G033900	259.42444038012326
MgIM767.05G138200	259.29207695576935
MgIM767.08G190800	259.2516051819625
MgIM767.06G077600	259.09459575616387
MgIM767.12G177600	259.089292376173
MgIM767.04G080700	258.67414011394254
