n,k,count
91,91,3040
92,92,3120
140,77,29
154,80,63
169,1,1997
151,68,49
143,57,17
160,77,156
132,84,14
106,101,46
133,48,24
157,145,85
121,29,14
82,17,10
118,78,11
100,46,7
142,1,381
135,21,24
88,27,11
117,1,194
77,3,37
165,113,145
167,42,151
167,137,240
169,26,246
177,172,1361
169,4,642
155,44,74
165,45,177
168,124,108
171,27,197
163,45,187
172,10,498
166,42,147
21,0,989
160,118,144
164,117,188
166,122,151
173,46,23
172,131,54
58,2,25
171,41,66
170,39,95
164,38,226
168,126,135
168,45,112
169,127,113
164,121,183
166,41,164
171,170,2939
167,40,174
168,128,159
172,39,31
95,95,3229
165,98,104
93,0,22827
166,35,212
170,159,472
170,162,479
168,11,357
166,9,244
168,10,367
174,162,437
173,1,4829
166,44,159
174,9,591
178,166,144
175,9,578
178,5,1079
171,10,460
172,168,1218
170,150,349
165,28,236
155,141,49
171,166,802
182,175,43
176,163,266
169,156,371
166,26,238
166,20,254
167,11,319
180,15,24
178,14,108
168,147,290
175,156,163
174,161,389
166,141,262
174,14,330
173,168,1152
177,14,143
178,163,77
165,84,83
178,164,81
174,169,1256
170,10,427
171,11,453
175,166,590
171,160,474
171,8,542
176,166,432
171,12,461
167,156,324
181,179,1188
176,8,600
167,10,316
173,162,489
172,154,289
183,8,2
169,160,419
168,9,336
171,127,43
177,20,78
173,150,156
176,25,61
181,9,49
182,5,88
168,134,184
179,173,497
181,176,229
147,123,29
171,118,15
166,132,230
172,31,111
160,129,144
164,132,224
162,130,154
157,126,94
157,30,59
183,3,144
168,34,201
168,35,180
183,4,53
164,39,205
168,39,158
165,133,198
163,127,172
160,37,140
159,31,115
169,37,139
170,158,437
164,125,200
179,175,1567
179,174,842
165,32,223
167,133,201
171,165,629
169,168,1988
167,162,335
172,171,3853
174,157,184
173,34,61
145,108,29
160,159,724
161,160,792
163,160,396
177,165,209
174,12,419
176,11,342
165,153,227
170,14,403
166,1,1261
169,161,441
177,152,24
175,13,312
177,13,176
165,4,315
163,162,972
161,158,384
171,18,297
172,3,2039
176,159,119
172,156,293
182,173,8
173,8,635
170,156,390
172,158,426
173,159,406
180,165,22
168,7,330
174,155,220
107,88,9
137,81,18
158,93,160
155,92,100
154,47,73
121,19,15
152,32,56
152,105,45
147,41,34
169,53,54
156,39,88
169,7,422
165,20,232
158,151,94
171,134,84
177,167,332
166,100,93
166,147,242
169,5,492
176,167,523
164,97,106
172,152,267
174,21,218
179,155,13
138,38,20
165,25,238
159,6,125
159,123,121
162,2,482
170,166,800
177,156,54
158,38,98
172,141,95
142,2,209
171,34,110
172,34,77
128,103,17
166,149,191
166,136,250
169,135,178
170,34,147
170,136,167
169,126,121
166,39,181
162,41,198
171,33,118
168,40,133
165,40,193
163,41,189
169,133,131
140,140,7651
138,138,7553
135,130,62
166,38,207
169,130,120
159,66,158
168,59,45
161,56,161
160,100,178
75,0,15586
158,94,159
150,60,37
159,64,163
84,1,100
139,78,22
163,124,193
180,6,301
169,139,217
164,92,140
171,32,144
170,28,200
169,59,26
163,109,169
160,102,159
161,131,137
166,101,79
160,93,145
163,60,147
165,64,98
167,123,139
166,36,192
169,44,88
165,30,223
171,1,3025
129,58,15
146,102,32
157,66,112
160,59,150
169,25,297
162,119,176
173,4,1542
177,7,614
153,3,246
170,3,1289
81,0,18749
164,133,219
174,160,354
164,74,117
137,87,24
147,146,419
164,8,176
167,17,218
161,50,175
160,132,130
161,95,160
162,152,158
170,12,436
163,129,185
160,98,162
167,8,283
157,36,88
157,122,91
156,66,125
167,143,257
169,159,410
168,22,264
98,56,14
117,94,9
110,49,13
115,101,21
166,22,235
157,62,119
149,34,40
164,103,137
164,58,153
165,58,140
170,56,26
176,164,289
166,63,77
166,75,79
166,129,177
182,13,7
178,11,177
172,135,73
128,128,6158
89,0,20580
167,164,729
163,36,184
132,121,16
167,122,112
168,58,49
169,106,39
160,156,230
168,102,40
108,104,48
140,58,18
141,39,28
156,117,83
114,58,8
133,133,7008
49,0,9111
52,52,1331
62,54,13
154,40,49
157,35,78
121,121,5145
164,119,187
163,80,118
167,21,268
169,29,238
173,139,60
177,28,12
176,31,25
161,78,159
155,11,64
162,156,182
154,4,144
153,1,549
157,153,194
154,65,79
160,67,160
167,111,102
162,114,197
165,109,147
175,10,464
162,139,135
169,24,266
168,131,202
173,169,1550
155,146,80
150,82,40
151,100,41
163,3,408
93,92,112
123,109,16
156,70,111
154,70,95
163,89,149
155,74,87
153,64,47
158,77,153
157,94,112
157,80,118
158,82,137
168,5,411
156,74,100
159,83,136
161,98,161
161,84,161
130,34,18
146,88,35
168,1,1681
75,57,8
76,0,15205
29,0,3603
157,89,99
157,82,111
165,23,218
159,148,105
88,0,19835
186,0,13532
37,36,33
37,0,6520
31,0,3942
30,0,3883
31,31,568
31,2,5
33,0,4098
158,1,718
145,84,24
157,39,95
169,163,431
122,122,5396
122,120,100
161,136,117
134,134,7100
138,2,186
154,118,53
155,119,73
169,134,174
166,45,139
161,120,169
164,104,137
163,119,206
157,2,353
108,92,15
127,127,6000
117,16,19
130,128,129
135,1,295
134,122,23
131,86,12
160,150,120
163,11,176
168,166,934
160,94,153
169,32,184
160,1,757
174,13,379
165,83,93
176,161,206
178,15,76
170,1,2368
150,70,34
162,3,416
154,116,72
160,9,118
162,153,128
169,166,1018
157,77,117
164,82,83
176,165,351
176,12,324
166,82,62
167,98,72
167,101,67
172,160,476
160,6,149
154,8,73
140,26,24
146,8,58
149,148,487
143,139,129
145,7,51
146,80,31
145,82,28
165,160,255
158,135,106
167,90,52
164,5,219
159,157,385
168,163,454
166,165,1226
153,138,36
149,107,44
154,82,80
162,81,129
163,81,130
171,14,417
168,144,287
154,93,68
166,13,259
172,13,423
180,13,41
172,90,7
178,159,39
178,17,45
160,79,125
161,129,115
117,116,201
161,75,139
174,153,165
166,128,174
151,92,51
155,70,95
79,79,2488
78,0,16921
78,78,2419
76,75,80
89,3,49
162,63,160
162,66,160
171,85,9
89,84,23
93,93,3295
94,94,3344
93,1,134
92,90,59
91,0,21123
89,2,45
85,32,11
67,0,13382
92,89,46
161,82,162
160,78,170
171,23,253
166,55,114
170,25,243
164,62,141
171,146,212
90,89,112
60,0,12080
59,58,62
169,15,294
108,5,32
162,161,898
165,12,218
165,1,1162
169,3,1009
175,18,137
173,156,219
175,8,672
163,134,185
172,163,578
153,149,165
171,168,1529
163,93,136
178,154,24
166,109,103
173,165,629
171,15,365
174,164,546
177,15,122
163,154,154
180,175,493
172,6,725
174,24,109
171,161,518
175,25,96
171,140,124
176,14,189
163,13,141
179,10,132
173,149,165
168,154,324
165,143,229
167,113,79
172,15,338
175,24,109
176,13,264
175,22,116
168,156,364
166,155,244
171,9,546
168,4,538
165,112,130
168,56,67
176,10,405
163,108,173
173,10,575
167,136,229
180,14,25
173,151,197
169,30,196
175,151,92
182,10,8
165,151,183
133,131,146
179,12,82
177,166,284
177,12,245
163,5,223
160,7,108
153,82,77
186,186,2617
170,147,251
156,121,76
160,128,120
111,111,4407
178,13,126
163,57,170
170,148,277
179,15,43
167,158,323
172,2,2256
161,94,172
181,4,493
173,31,98
176,17,108
180,173,179
173,147,152
178,170,354
180,163,9
164,153,215
157,31,74
