n,k,count
152,142,73
131,127,63
128,124,49
154,78,55
133,130,114
165,129,196
150,32,44
155,48,74
130,15,26
147,40,32
150,13,31
157,47,126
139,68,19
157,37,100
156,37,100
115,57,12
146,33,26
110,72,16
155,2,283
160,149,102
142,63,23
140,79,26
131,48,11
139,135,100
129,10,26
133,13,19
113,18,17
111,94,16
111,96,18
119,113,31
118,19,18
126,2,100
124,5,47
120,111,22
127,2,124
126,13,14
118,109,25
129,123,56
125,119,34
130,8,35
152,54,55
137,102,20
142,19,38
159,19,78
165,15,148
164,35,187
160,121,128
154,124,42
121,28,13
119,27,13
126,19,19
123,78,15
138,44,17
146,104,21
169,27,259
170,68,25
172,117,8
158,71,156
158,70,126
88,74,10
156,75,112
164,68,130
163,68,151
171,137,103
155,80,80
151,75,47
159,80,149
38,1,29
55,24,7
161,23,117
82,46,8
158,32,96
156,148,82
173,153,219
156,87,116
130,42,19
83,71,12
134,33,19
142,37,29
144,126,30
149,23,38
161,125,146
162,112,178
164,4,323
161,49,180
127,9,33
133,6,49
157,7,91
160,147,102
171,28,182
85,27,6
100,89,17
46,1,42
88,73,9
84,30,8
77,76,113
75,65,10
67,1,77
93,77,15
98,1,139
136,9,30
126,28,12
112,78,18
99,15,13
106,104,75
123,56,8
124,2,114
165,67,100
147,30,37
140,19,24
156,137,66
147,47,28
87,23,9
179,17,26
111,68,11
25,1,10
24,2,4
22,1,8
52,42,8
38,36,8
40,20,4
45,18,3
28,3,7
26,22,5
87,83,29
134,5,61
56,13,1
34,34,602
28,28,398
162,142,119
94,75,9
126,9,26
58,7,6
56,4,11
32,4,5
157,142,51
160,15,58
162,147,95
168,84,33
155,8,76
160,130,99
147,7,62
142,93,22
144,52,27
150,107,31
114,43,17
121,57,11
119,46,16
134,51,15
78,1,109
159,156,323
152,37,55
166,108,102
163,52,143
157,5,138
150,95,35
151,90,49
154,100,60
129,104,21
52,4,15
41,41,1046
101,1,146
104,1,167
97,84,11
100,84,15
88,50,9
89,56,15
97,16,14
96,63,6
78,46,6
80,31,9
99,96,44
135,44,11
153,10,62
114,59,14
108,28,14
109,29,9
114,29,12
115,69,12
146,55,30
89,60,9
99,29,10
97,92,25
90,23,8
89,40,6
71,65,11
46,45,50
78,7,6
97,34,10
108,97,11
97,58,4
90,82,10
91,83,3
68,67,98
68,64,20
68,66,37
63,4,18
62,59,19
82,80,50
65,64,71
76,67,9
61,1,69
68,61,9
68,15,5
82,50,4
73,72,86
87,22,10
153,108,58
136,1,293
168,122,93
158,56,125
156,53,100
174,135,13
170,129,81
168,47,128
135,2,159
174,133,24
106,65,9
157,128,97
159,29,83
158,28,78
164,142,233
155,46,83
155,81,81
60,37,4
155,32,53
124,93,20
130,36,9
151,116,35
148,5,100
166,89,70
129,66,12
53,39,6
141,42,28
152,35,41
92,14,8
163,43,181
158,97,124
141,55,27
137,57,11
158,55,127
148,16,37
152,91,53
150,52,52
154,105,47
160,58,143
154,36,43
159,124,111
116,56,8
116,52,15
157,100,104
157,28,75
146,6,66
132,114,26
157,32,90
153,110,63
155,40,72
157,124,73
167,52,88
158,31,94
79,59,8
85,5,22
68,21,10
72,66,8
66,47,9
68,46,9
88,48,5
72,65,9
161,102,196
182,7,25
172,125,29
156,143,53
142,11,35
159,13,88
153,30,43
136,127,35
158,152,114
143,3,156
113,7,22
142,24,29
142,140,167
141,132,37
144,4,120
144,140,113
151,132,41
143,138,80
145,5,89
145,93,31
155,59,74
159,18,78
128,42,15
111,91,17
119,117,104
118,103,18
135,35,26
141,123,27
135,100,21
97,61,8
147,20,38
141,26,25
153,8,69
166,10,264
150,76,43
121,51,15
102,5,31
152,106,48
150,39,32
147,111,34
154,111,61
160,40,155
136,91,13
138,61,21
161,8,128
168,118,96
139,17,24
160,146,68
154,77,85
151,73,47
148,70,39
151,89,42
138,5,75
161,153,153
149,139,67
145,10,39
146,3,166
154,46,73
148,32,25
119,110,20
156,146,60
156,145,75
159,12,96
136,34,26
166,71,70
141,34,20
142,103,25
150,109,40
75,43,8
66,16,7
65,21,7
115,5,47
113,39,18
110,36,13
63,54,8
138,128,45
125,123,131
129,34,9
86,55,6
138,54,25
84,20,10
42,36,7
142,127,22
107,17,20
105,82,9
132,74,17
142,31,26
153,16,33
150,18,25
157,58,106
111,64,15
161,58,181
159,103,126
172,49,16
131,90,20
159,94,127
148,78,34
159,7,80
158,75,135
168,123,99
137,89,28
155,45,58
153,31,52
81,1,106
100,98,67
97,14,11
93,75,13
91,71,12
73,69,14
103,2,78
97,15,14
87,84,38
88,19,9
80,69,9
85,84,118
87,78,7
83,42,4
82,43,8
83,38,6
95,55,9
123,29,15
120,36,17
168,71,44
169,143,242
122,22,13
126,124,128
120,91,12
121,30,9
121,92,17
116,87,20
117,84,15
170,47,46
117,45,8
171,75,7
171,74,9
167,126,180
139,60,18
166,76,67
92,67,11
94,89,25
88,22,8
132,4,102
142,45,22
145,127,39
147,46,30
169,49,64
143,5,70
125,33,15
122,44,19
152,140,32
142,84,19
146,61,24
152,80,57
157,72,121
146,18,38
96,16,19
152,128,54
138,81,21
132,61,20
89,69,4
89,9,4
100,71,12
136,70,23
149,119,28
135,59,19
160,17,95
157,40,105
144,35,24
134,36,20
140,138,172
123,50,14
127,73,15
152,7,59
104,40,10
152,58,56
154,114,62
133,83,18
155,42,65
157,42,99
150,46,41
175,20,150
177,17,68
172,155,256
151,142,68
130,39,18
149,19,39
146,9,47
129,119,18
77,74,38
61,59,22
71,34,5
141,138,132
136,6,38
150,115,39
153,4,149
154,5,108
151,18,49
130,109,20
128,11,20
149,144,104
135,8,42
148,108,41
151,22,54
156,2,309
135,5,55
153,41,63
161,20,129
148,122,38
150,24,46
172,42,34
171,42,63
168,119,75
161,123,160
137,11,20
144,141,172
158,118,100
158,49,123
157,57,129
165,52,144
140,68,22
153,39,47
121,49,10
147,86,23
157,116,88
115,96,16
135,126,31
160,41,152
124,59,8
121,61,13
126,62,14
151,93,47
112,47,9
148,90,34
134,62,13
123,62,9
164,56,166
155,131,56
127,68,14
156,25,50
159,133,96
150,145,100
134,31,16
141,118,28
92,64,12
135,103,13
158,27,70
163,39,207
174,40,15
131,13,16
132,119,15
155,125,54
165,93,115
169,84,17
99,93,32
82,64,4
108,81,10
156,28,79
138,136,192
152,62,60
153,54,63
152,90,38
160,154,134
152,92,50
154,26,58
151,52,41
111,110,172
145,61,25
153,93,61
153,88,78
149,92,38
148,92,29
149,93,36
149,87,37
125,111,21
141,64,24
153,124,46
119,88,18
163,20,160
159,141,91
137,63,16
153,151,286
143,63,22
160,155,174
132,76,18
137,134,141
156,124,80
155,34,68
149,76,48
154,20,52
135,96,18
156,21,87
162,155,164
147,89,31
165,8,216
154,30,60
115,63,14
127,7,45
144,106,23
90,2,60
81,41,6
158,91,136
131,68,24
156,101,98
148,44,37
175,148,71
126,38,13
161,26,108
159,135,112
115,38,6
169,39,112
178,152,17
142,35,23
145,28,28
140,70,21
174,106,2
82,36,12
84,67,6
96,89,13
95,10,8
95,12,14
107,83,8
111,86,19
114,101,19
107,89,17
81,50,3
87,28,8
90,88,48
54,53,70
67,66,77
77,14,8
125,122,104
134,10,29
133,18,17
155,39,68
111,4,39
158,147,85
140,15,12
72,2,37
118,62,17
128,67,22
129,57,12
160,20,110
144,77,32
153,78,50
102,94,17
141,66,31
150,63,41
133,67,11
149,78,31
154,50,53
151,97,42
137,95,20
166,121,147
166,127,175
175,21,137
151,54,47
120,12,16
173,134,29
115,10,17
172,41,34
159,87,139
177,160,76
182,14,1
162,43,196
161,57,146
154,92,63
134,131,120
124,3,81
127,50,16
130,59,25
152,19,47
150,17,45
157,60,114
158,148,99
152,104,48
147,100,31
98,3,60
79,66,15
80,30,4
77,58,9
77,5,21
76,60,6
66,11,8
65,57,8
159,99,145
168,121,89
154,109,65
155,96,87
166,46,133
154,131,49
154,37,47
156,5,141
158,140,68
132,115,19
132,112,25
136,131,65
132,20,20
121,18,18
109,106,74
165,44,179
123,4,71
119,22,11
95,3,61
133,33,24
160,122,137
126,29,16
131,12,24
140,114,26
141,111,21
164,31,201
151,28,48
103,30,14
137,30,25
137,94,22
136,78,18
163,158,212
145,15,34
129,25,16
146,21,36
119,75,14
144,27,26
142,100,27
155,6,88
128,34,12
147,97,29
152,18,41
149,123,32
144,9,46
164,64,124
131,2,136
132,104,23
141,85,17
165,115,153
157,46,112
175,28,51
159,4,196
158,24,78
165,101,94
140,118,27
149,50,42
137,103,15
167,22,277
173,133,26
171,63,19
161,59,172
128,1,255
112,52,7
98,52,13
102,43,6
110,7,19
123,51,14
129,13,19
129,88,19
120,45,13
127,119,33
125,116,32
156,122,69
90,86,35
122,50,12
121,79,9
118,69,12
124,81,14
123,69,15
132,75,15
135,64,21
127,20,10
169,125,83
157,129,74
148,18,33
132,6,45
161,117,174
163,65,160
116,70,15
173,42,26
170,54,29
171,48,33
172,123,24
178,42,1
173,48,15
136,71,15
78,76,50
69,24,4
155,116,68
161,22,128
127,63,14
152,63,48
107,99,15
106,8,15
153,65,64
167,63,71
165,135,203
142,115,26
54,52,31
144,65,30
160,131,129
162,149,121
145,116,16
113,19,15
137,43,19
159,155,196
114,91,11
86,1,124
139,72,26
135,75,13
148,20,35
136,124,21
127,80,13
134,83,19
137,44,17
138,114,23
147,131,36
115,50,12
103,49,10
98,7,15
104,79,15
53,1,53
62,3,22
63,3,23
72,68,17
71,68,22
69,65,16
71,67,20
135,108,19
123,77,14
150,26,34
145,141,104
136,26,23
139,25,20
145,34,23
114,32,15
111,54,8
142,49,17
154,11,56
142,124,32
134,121,10
150,53,45
141,49,25
156,14,45
157,143,50
168,18,292
151,9,48
172,147,189
136,99,20
137,99,15
139,101,24
139,100,21
144,95,31
164,60,137
134,3,100
141,139,176
125,109,21
132,124,20
129,111,16
127,11,19
126,114,19
173,140,63
135,30,26
133,115,25
146,58,29
136,128,43
138,19,19
135,102,22
158,58,138
148,129,41
145,24,38
155,18,53
97,83,15
115,7,23
138,15,36
147,136,25
127,4,62
145,17,37
148,144,116
150,119,36
144,120,34
134,128,61
133,127,62
122,28,20
156,142,45
160,140,113
150,56,36
166,120,155
142,50,24
154,45,79
163,6,161
140,66,20
142,133,43
143,9,38
145,48,13
145,97,24
147,14,21
156,13,50
157,90,105
146,23,37
153,32,46
166,95,57
126,49,17
164,45,215
160,86,144
111,80,13
169,103,30
144,73,28
167,119,120
162,120,171
138,69,14
164,71,148
132,72,19
127,1,248
119,29,7
126,15,17
119,72,17
123,15,15
123,95,18
129,9,24
118,71,11
121,44,16
124,17,18
126,16,26
165,59,119
179,165,55
178,18,51
143,73,24
141,82,26
142,60,26
170,149,319
161,156,187
72,71,76
151,124,51
99,94,30
140,107,22
165,29,228
157,41,90
165,39,223
162,124,191
130,77,21
125,31,12
74,4,19
102,1,136
109,93,15
92,84,12
155,152,243
158,137,77
56,54,21
175,149,75
111,21,10
118,33,13
126,69,17
145,112,43
173,142,75
169,89,26
169,56,45
118,32,12
154,113,58
155,41,72
149,38,41
165,80,91
121,96,15
174,137,30
175,140,18
161,101,143
166,62,99
165,13,214
163,12,162
149,115,31
168,78,32
167,76,59
165,68,107
165,71,113
138,78,25
140,53,18
146,142,135
151,4,124
106,54,11
135,15,19
135,31,20
74,56,6
96,52,4
99,95,40
97,59,11
98,90,14
94,56,9
120,108,14
65,30,4
90,57,11
131,78,12
126,119,45
107,77,7
103,90,17
108,32,14
100,53,9
109,34,8
113,110,79
155,121,59
111,95,19
157,4,183
159,8,99
129,23,17
126,76,14
162,110,142
160,38,140
157,118,104
145,4,102
118,42,12
90,39,7
106,49,6
120,90,8
122,92,14
110,48,9
120,34,8
120,85,15
124,119,50
158,48,117
157,84,121
114,97,14
106,102,44
40,1,27
72,19,7
166,69,89
168,33,184
150,67,40
109,5,33
126,34,13
164,81,104
113,21,18
142,138,99
78,35,8
81,7,11
154,32,56
162,28,144
133,100,17
161,119,166
149,37,35
142,137,70
129,91,19
134,38,22
133,34,24
124,105,20
143,104,28
131,45,17
135,6,46
124,50,14
155,83,86
150,40,33
151,39,34
73,44,8
85,1,119
69,12,8
81,71,17
78,21,8
105,18,16
98,34,7
104,31,15
105,36,11
102,37,9
113,111,83
109,23,12
110,86,14
163,147,100
159,33,105
72,3,34
137,101,17
139,65,9
160,16,65
153,45,54
110,106,51
127,96,13
161,118,155
155,111,64
156,135,84
157,12,84
127,47,16
155,115,75
122,5,52
165,89,87
125,112,15
153,86,58
104,62,10
108,17,14
136,51,18
160,153,113
158,8,105
143,99,28
153,13,40
134,125,28
152,41,50
143,34,20
158,136,85
167,41,167
141,83,19
139,27,29
141,106,23
139,58,23
148,14,20
140,87,17
137,52,28
121,116,47
133,105,22
141,3,155
136,107,18
133,69,18
133,56,18
131,3,99
147,104,30
147,62,25
163,85,132
152,82,48
153,18,49
140,86,15
147,64,28
136,55,19
159,101,147
123,58,13
91,9,6
101,2,76
160,124,137
173,138,47
99,5,20
101,94,18
113,95,12
150,136,27
93,84,8
85,65,8
155,86,103
156,19,60
79,19,6
78,10,9
84,25,4
79,20,7
85,61,8
86,65,9
148,103,37
158,4,195
143,58,21
130,57,17
141,15,20
148,62,37
148,60,33
128,70,23
145,76,28
92,35,7
148,98,46
178,153,16
178,25,16
136,25,22
116,11,12
154,18,52
115,70,18
117,43,8
123,79,9
156,40,71
75,40,10
75,37,4
86,7,12
85,7,10
96,34,5
108,100,21
101,12,14
126,90,16
117,111,32
126,8,33
152,56,45
176,156,94
176,38,9
164,123,186
147,92,32
153,19,44
128,101,20
156,140,48
133,106,18
60,40,4
119,23,13
161,16,76
87,2,65
90,5,19
155,76,95
162,14,96
134,35,18
150,84,44
132,129,110
154,134,60
150,112,39
63,47,8
133,68,22
128,77,15
156,10,84
154,90,67
124,69,13
155,13,49
143,102,19
163,156,178
140,11,24
133,39,22
144,59,23
123,26,18
15,0,282
101,81,9
148,22,33
143,23,24
109,18,14
82,34,7
89,7,10
92,31,10
115,103,22
119,4,68
120,18,10
120,86,17
113,57,9
116,22,16
106,81,13
80,3,45
83,3,43
74,73,99
86,15,8
88,58,8
88,85,40
122,57,10
144,6,48
138,25,22
111,61,14
85,82,40
90,76,15
86,49,7
100,62,6
106,74,9
137,12,25
167,59,86
142,122,23
143,7,44
126,86,23
116,23,16
92,3,46
151,138,33
154,31,43
44,1,51
57,3,18
57,31,5
56,45,6
55,9,9
59,47,4
57,11,7
55,44,1
57,47,8
53,8,11
50,26,3
50,6,6
50,48,13
68,13,9
62,9,8
44,4,6
101,92,14
103,8,14
157,98,110
154,14,41
92,2,52
90,56,11
88,54,8
80,36,5
79,77,48
44,20,3
56,48,9
54,4,10
124,121,85
118,11,12
121,86,9
91,37,7
93,4,36
94,9,6
102,22,7
85,83,41
104,76,9
150,45,33
151,37,56
139,31,25
161,15,77
162,144,115
158,12,69
150,141,54
144,20,35
154,129,59
139,112,33
156,134,69
138,135,149
134,129,56
147,103,32
146,122,32
139,90,23
156,32,77
160,84,150
150,108,47
158,18,68
168,82,25
161,104,185
157,88,123
131,27,16
158,76,136
171,92,8
144,119,29
164,85,95
155,72,99
91,85,16
130,26,19
131,115,18
147,83,36
158,72,126
170,49,46
150,55,36
167,77,59
164,112,116
170,115,25
111,28,12
111,83,9
119,5,41
121,117,61
110,28,8
110,85,15
123,5,43
165,145,250
154,21,53
152,30,40
136,81,24
117,2,108
99,97,55
103,14,10
91,2,58
100,1,121
96,95,133
147,144,176
157,79,131
147,79,34
176,99,1
163,79,141
109,104,39
102,93,10
161,121,158
170,95,14
159,102,147
159,40,111
182,4,189
160,133,116
149,25,41
150,28,39
86,43,5
145,43,24
66,17,4
124,15,16
106,53,12
157,109,103
159,53,147
139,122,37
151,146,93
147,114,33
145,31,29
156,118,83
85,10,10
92,7,15
82,37,9
104,103,141
132,82,11
159,118,131
160,125,140
157,26,67
160,47,169
137,90,14
26,3,5
23,1,6
152,14,24
175,26,55
160,111,148
172,45,33
64,2,32
162,94,161
116,86,9
117,85,15
109,86,9
155,123,59
152,146,88
157,21,79
150,79,36
124,6,51
158,139,73
151,80,54
154,72,98
136,56,20
161,134,137
143,77,24
147,81,31
153,72,61
149,11,39
159,132,98
162,32,170
158,26,66
159,129,126
148,52,38
166,66,89
172,120,16
170,65,20
153,117,44
150,104,52
163,44,173
149,106,40
163,101,152
153,63,63
127,85,14
142,36,16
138,37,24
150,3,210
156,60,97
155,55,91
163,53,145
137,83,24
143,115,33
119,114,53
154,122,65
141,129,32
129,121,34
141,12,20
153,96,42
154,51,69
127,100,11
141,54,23
133,125,35
127,117,25
127,112,13
125,11,19
135,23,20
133,124,28
135,110,24
127,116,16
174,134,22
151,94,42
144,80,19
151,20,50
146,68,28
107,39,8
149,130,38
158,155,309
128,119,30
129,63,17
136,38,18
108,67,11
144,130,29
130,76,20
160,69,160
153,101,56
144,43,27
140,73,22
105,85,13
169,94,28
144,142,183
143,39,28
144,134,45
153,126,40
150,127,30
134,6,50
147,18,27
116,40,13
111,67,13
94,13,12
120,4,69
115,14,11
114,108,29
119,112,37
102,64,11
113,61,8
134,117,25
139,123,23
114,100,17
113,107,36
137,17,20
159,39,123
152,38,38
130,50,18
114,75,21
117,91,11
149,89,51
149,72,44
156,80,108
125,76,10
161,80,140
80,2,43
112,10,15
127,23,14
103,46,7
158,132,89
151,29,26
63,37,5
44,3,7
122,66,10
127,105,23
131,107,23
109,85,19
130,107,22
123,41,17
118,30,24
123,86,10
145,115,29
86,63,11
163,59,173
59,25,6
54,25,8
61,35,10
156,15,33
113,62,13
142,86,29
156,33,58
108,37,7
101,90,10
98,42,10
100,10,13
105,101,39
100,85,6
99,37,10
100,60,9
100,7,15
99,92,18
108,7,21
140,90,22
151,36,35
127,3,101
104,15,15
117,36,12
118,3,88
154,119,57
142,54,27
146,115,29
137,47,14
102,101,146
102,100,92
100,31,13
124,54,12
147,75,28
141,79,17
124,36,17
149,110,47
141,61,28
148,131,41
174,139,44
144,45,20
148,63,27
150,85,45
143,62,21
146,63,38
171,37,93
178,16,58
167,57,90
158,109,115
128,104,17
130,89,17
136,2,144
131,120,27
138,70,24
113,75,14
105,65,7
112,44,9
173,35,64
168,112,66
129,43,16
170,52,38
132,87,17
154,149,123
143,28,32
174,152,166
92,8,11
95,21,6
154,107,49
170,113,32
173,39,28
159,108,104
149,128,50
150,128,37
149,127,49
150,130,45
43,40,8
131,117,17
140,102,26
143,117,26
113,32,19
87,4,31
81,30,10
79,76,27
50,42,12
39,34,9
55,43,6
169,73,23
154,87,87
157,92,124
163,70,135
171,107,11
161,93,196
97,46,8
133,103,13
142,117,34
131,60,15
132,67,23
139,61,19
130,75,15
135,65,10
112,93,10
108,60,7
147,88,32
136,90,26
129,62,19
132,70,20
96,24,10
175,144,34
117,64,12
122,117,47
108,64,8
142,27,28
94,48,10
134,34,17
127,36,15
140,41,24
129,93,14
100,3,62
126,88,16
126,70,16
127,56,18
129,56,16
149,10,40
155,127,51
126,25,24
155,27,53
156,125,62
146,113,34
90,71,11
147,112,23
158,110,134
156,109,102
142,46,25
152,53,51
158,66,128
117,59,1
158,52,109
72,49,9
110,68,16
113,88,9
123,35,12
125,105,16
164,102,116
108,73,9
111,36,9
102,32,9
160,106,155
142,130,34
138,125,18
142,16,26
57,22,4
31,10,1
44,29,1
127,110,21
94,6,21
115,68,16
151,135,39
133,4,89
133,116,19
145,95,26
81,14,7
159,149,113
152,45,48
152,107,50
146,105,36
150,110,29
153,91,59
135,42,17
105,100,23
144,92,26
111,2,91
105,60,8
99,38,14
155,33,53
160,29,108
148,35,39
152,117,44
125,34,12
152,96,56
150,123,44
149,122,42
145,123,32
138,7,44
127,58,16
127,22,25
121,118,96
120,59,7
147,110,31
143,36,30
132,53,9
110,37,12
109,38,10
132,19,30
128,44,19
125,47,14
151,141,55
143,37,35
139,56,21
140,36,21
118,20,16
121,70,11
142,106,19
151,144,78
151,143,84
137,91,23
179,13,61
145,9,44
109,2,82
124,55,9
123,55,10
142,101,25
122,93,11
161,41,166
151,119,38
153,120,47
147,101,39
148,101,32
138,104,22
104,27,10
107,64,7
99,52,4
93,55,7
93,43,17
91,40,10
90,41,13
80,79,98
147,71,32
141,70,16
158,81,158
134,45,19
138,97,23
159,71,138
125,38,14
123,30,12
100,27,8
156,67,95
133,54,14
124,117,33
123,14,14
124,109,21
107,14,21
107,91,16
112,13,8
99,3,55
153,27,51
156,141,43
121,4,73
166,67,90
146,101,32
153,53,57
148,17,41
158,141,65
159,48,138
168,109,66
171,126,57
168,67,35
100,73,9
110,2,106
160,22,112
140,105,19
146,30,26
141,108,26
137,34,18
167,102,71
134,106,19
162,5,212
152,127,26
107,2,80
109,20,12
120,117,98
157,149,99
165,150,149
134,37,19
155,62,68
163,62,134
161,135,110
176,145,25
173,30,87
144,48,26
155,84,98
134,63,12
169,47,87
168,64,42
163,73,151
138,91,25
98,95,62
92,13,12
94,91,63
94,3,63
159,82,142
170,29,184
157,9,82
143,68,36
150,105,37
129,21,21
130,6,36
95,61,12
90,11,11
108,49,8
124,87,13
126,89,15
111,41,9
123,99,20
119,34,18
123,106,22
130,13,19
122,43,18
141,17,31
129,109,11
120,75,24
133,113,23
122,64,12
135,12,19
124,85,17
130,121,29
80,77,46
83,10,10
93,14,14
105,25,4
110,5,41
96,32,10
102,97,31
97,18,8
97,51,8
93,7,15
107,102,37
107,4,46
96,94,67
79,33,4
101,97,53
110,1,179
80,42,6
78,68,8
108,77,14
125,107,24
157,155,357
130,10,24
146,120,32
136,30,17
144,89,23
136,95,23
117,28,10
106,56,10
141,16,23
112,59,10
142,15,22
140,106,26
143,22,24
140,22,25
147,82,33
156,123,62
100,39,9
112,106,30
141,25,20
109,42,12
63,1,64
164,30,170
165,88,89
176,24,41
155,101,78
156,43,87
165,76,90
126,46,19
119,84,10
167,84,41
137,62,24
169,87,14
153,94,49
157,20,60
157,135,77
148,66,41
157,6,129
122,108,16
134,93,17
149,41,37
98,14,12
130,43,17
107,6,30
114,64,13
143,19,27
143,126,27
139,111,23
118,7,22
86,50,8
95,41,8
137,133,83
125,4,60
157,125,91
171,53,27
162,108,187
172,122,22
151,35,40
102,58,6
170,40,89
159,98,143
150,65,44
93,16,14
135,122,23
138,4,87
164,96,128
121,65,14
181,10,33
134,56,20
177,18,52
140,51,20
157,27,65
157,104,103
116,49,10
170,44,63
179,19,16
157,138,73
148,134,27
184,9,1
152,10,55
57,43,5
58,41,1
153,146,83
138,41,23
158,120,109
138,84,19
152,93,42
155,63,105
57,50,7
45,36,7
145,47,18
144,46,22
151,113,42
153,9,78
154,19,53
156,129,54
143,122,27
139,93,15
146,123,32
121,36,12
145,57,20
147,107,33
141,124,27
146,50,35
103,68,9
105,103,93
103,71,9
104,66,10
153,98,63
130,5,57
126,87,14
136,89,19
140,93,19
125,57,7
80,52,7
150,19,41
98,5,29
123,81,12
142,105,21
156,16,52
157,17,57
109,64,11
148,7,55
137,37,17
139,35,18
163,144,152
114,41,12
119,45,10
120,22,12
124,22,14
78,15,7
76,43,8
137,65,22
141,8,40
134,88,17
100,38,4
116,17,17
161,137,135
162,22,137
132,30,19
102,4,41
114,94,16
146,86,34
151,50,44
151,83,48
119,63,20
126,107,17
135,18,40
138,3,159
156,68,100
146,34,24
152,27,51
161,157,231
113,4,52
154,35,68
171,44,50
159,35,106
163,141,169
152,24,45
133,126,53
177,157,68
150,114,40
155,98,76
158,59,110
152,25,44
186,185,8
132,41,19
163,18,134
152,70,53
149,27,32
157,15,38
142,58,18
132,50,16
153,145,61
150,101,26
145,22,30
87,30,9
107,53,15
91,60,10
92,38,5
93,56,17
92,55,5
67,48,10
84,3,42
173,70,4
167,66,71
174,54,6
172,53,19
173,53,11
164,101,123
167,69,64
155,130,51
121,111,20
119,95,17
116,12,12
109,28,10
108,59,12
118,115,88
142,51,21
150,33,36
155,128,58
156,104,98
162,101,171
111,63,8
156,51,88
119,47,15
165,124,184
154,89,64
160,39,171
156,58,81
134,27,19
136,108,14
134,15,26
157,99,107
116,67,6
119,26,7
145,113,21
145,124,23
140,120,35
138,124,31
150,121,38
127,87,16
137,70,18
152,40,40
150,97,37
147,68,35
128,88,15
150,69,45
114,99,25
109,4,43
107,94,15
103,32,10
110,12,12
122,8,21
116,66,11
160,142,80
154,62,74
163,97,147
125,118,32
153,44,62
149,121,47
149,7,68
147,8,53
152,5,106
145,23,37
148,13,29
149,131,34
149,14,37
154,125,54
62,33,3
154,16,50
152,31,39
160,144,56
174,151,135
157,137,73
148,30,41
177,31,8
124,21,19
119,13,13
116,16,12
114,56,11
122,30,5
121,91,11
123,101,14
122,31,15
121,48,13
118,100,21
173,143,93
164,63,136
158,63,134
158,126,84
151,48,42
155,65,80
155,143,55
158,15,50
159,15,55
135,70,10
147,126,38
177,143,7
121,56,11
154,13,47
163,150,142
135,40,27
127,54,20
129,114,20
123,8,15
157,97,126
49,43,6
52,45,11
104,100,38
98,82,13
174,148,112
49,9,5
45,19,3
46,27,5
54,6,5
45,28,6
58,55,16
48,29,1
117,15,15
107,96,11
103,77,5
105,11,15
113,24,12
113,17,20
111,12,8
119,73,8
76,18,9
90,14,6
81,19,5
121,82,16
141,71,20
157,10,80
127,31,6
139,79,19
125,14,22
119,109,23
99,26,10
114,22,10
108,53,13
108,25,13
112,16,14
82,1,117
80,15,12
83,31,13
92,86,18
137,19,23
118,83,8
94,51,6
120,23,10
121,107,19
145,126,36
110,89,13
98,97,125
55,8,8
53,45,3
53,52,49
53,23,5
49,40,7
51,38,2
49,39,6
54,20,6
60,20,1
60,35,6
66,64,25
63,22,4
64,59,8
65,5,6
66,4,25
66,62,22
66,2,40
95,91,43
104,21,9
102,17,7
95,30,6
95,75,9
91,86,21
93,54,9
92,19,6
146,107,27
156,8,74
140,113,30
140,103,26
144,11,38
120,5,50
147,32,47
136,69,14
116,19,9
146,103,27
147,51,30
116,4,49
141,117,28
154,22,54
151,103,33
152,101,47
170,72,14
145,66,22
109,44,9
142,89,27
177,34,6
153,60,67
68,52,4
154,7,81
179,162,30
152,125,41
155,99,93
182,172,11
82,55,5
97,23,5
86,84,49
80,44,5
137,109,24
147,58,13
150,90,38
70,36,7
157,127,87
153,123,43
168,73,35
118,73,11
154,146,85
175,41,10
63,53,6
65,28,5
41,7,8
53,6,8
81,55,7
71,70,84
73,27,5
68,7,7
63,45,5
136,64,14
83,4,27
83,81,50
82,3,43
82,59,7
80,25,9
89,39,11
102,99,68
68,35,9
81,48,9
107,52,6
111,109,94
87,29,8
80,58,7
155,57,81
146,13,30
153,125,38
172,118,11
150,139,45
142,120,34
143,95,25
60,1,63
28,26,4
42,23,3
46,20,3
72,10,11
87,56,5
93,3,52
155,28,59
176,67,2
123,117,47
140,99,23
156,27,59
139,59,21
166,107,103
129,31,17
77,61,2
74,52,4
70,21,3
98,39,13
144,31,19
174,70,3
109,71,10
146,17,34
124,60,15
154,97,77
104,20,10
170,105,17
178,22,24
179,23,7
114,66,12
148,130,37
116,112,51
142,113,28
120,64,8
153,28,49
119,115,57
71,53,6
153,147,105
138,18,37
86,42,8
139,73,21
83,18,5
101,98,66
76,32,3
76,47,6
76,74,31
122,2,103
116,24,16
143,59,28
140,34,24
165,73,103
147,133,20
149,64,27
119,79,11
134,9,26
87,62,9
118,57,9
141,58,20
170,127,68
145,98,34
98,48,9
100,50,7
104,91,11
166,73,91
166,72,85
159,91,160
117,72,7
168,127,139
146,139,63
123,53,12
151,31,40
168,111,66
149,84,36
149,18,37
165,132,227
148,87,28
131,54,13
158,96,112
160,96,163
117,115,109
109,32,10
116,8,26
113,108,32
106,76,7
114,45,14
108,65,9
143,87,22
146,100,22
148,142,72
147,36,38
147,35,25
146,35,22
147,102,23
141,80,22
140,31,20
128,18,16
90,4,31
109,105,43
102,70,15
118,101,17
118,110,17
121,13,21
