GeneID,Exp_leaf,Exp_bud
MgIM767.02G021700,399.865366260815,538.534404416702
MgIM767.07G076900,399.835963445023,870.727450345429
MgIM767.08G218800,399.107968830838,1697.01654042672
MgIM767.14G237200,397.513857131174,458.389553005687
MgIM767.06G106800,397.345956561073,694.543901306162
MgIM767.10G099800,394.997629133965,110.280574021305
MgIM767.04G059500,394.699686266985,128.348297083717
MgIM767.14G093700,394.275697755043,343.228081927622
MgIM767.09G080000,393.793832730199,60.4662326522025
MgIM767.12G013900,391.257191148709,359.971277520424
MgIM767.06G004400,390.90315231772,453.113157356804
MgIM767.01G101300,390.273644135788,304.426354987697
MgIM767.02G165700,390.069498643776,576.93258310112
MgIM767.12G031700,388.552775448715,574.517067811724
MgIM767.01G107700,387.823947780676,109.585357564214
MgIM767.04G058200,384.737988563027,1063.59499298317
MgIM767.08G169300,384.143712501546,464.690495088004
MgIM767.12G091100,384.085014589142,147.225785652949
MgIM767.08G077900,383.852737305641,63.9243762164855
MgIM767.04G131700,382.948084940927,410.706867914612
MgIM767.05G006300,381.821007070096,3.8240783791538
MgIM767.08G210200,380.858111799887,433.498703669069
MgIM767.12G146200,380.224962288197,751.419798326279
MgIM767.04G212600,376.924434703704,28.277328543485
MgIM767.13G021300,375.26671236198,232.126899068197
MgIM767.06G059800,368.893089139998,109.015136565832
MgIM767.03G120200,368.449455416183,474.969821480408
MgIM767.14G156400,368.089717188953,784.815533715547
MgIM767.14G094700,368.021490135528,308.927252530865
MgIM767.11G003300,364.891018266853,804.164182908062
MgIM767.14G089600,361.743941901499,1.49099232776144
MgIM767.08G071500,360.114432638089,550.700724636141
MgIM767.02G076100,357.80956931953,66.0081630486629
MgIM767.13G147500,355.624170620366,211.697114181035
MgIM767.02G168200,353.86500319316,0.239060220739761
MgIM767.06G096100,353.691015772742,704.284127923044
MgIM767.04G013800,353.564349160223,692.322929712435
MgIM767.11G098900,353.426610675229,94.7142729840595
MgIM767.12G120200,350.678825261683,294.691633178718
MgIM767.05G002300,350.400154507167,35.0338421435951
MgIM767.08G120600,348.480666748665,367.06756727678
MgIM767.10G130000,347.785969351243,47.7342468232183
MgIM767.07G054700,346.740031973465,214.245954233544
MgIM767.02G002100,346.088149975195,7.26464964312062
MgIM767.13G033900,345.346345825714,504.534505289396
MgIM767.05G128300,345.155496143225,112.794663524117
MgIM767.01G030700,345.014280442078,9.31768683477275
MgIM767.07G006500,344.913389556116,475.956492855302
MgIM767.10G051900,344.131339548459,337.913399143071
MgIM767.08G029400,343.110924755451,640.470775735302
MgIM767.06G034600,342.836394762965,15.3411126425203
MgIM767.10G147700,342.501831229858,135.889314563131
MgIM767.08G148400,341.669160001055,76.4709241856733
MgIM767.03G083800,341.147411602401,72.2834121725047
MgIM767.07G086000,341.119470013677,810.629649048619
MgIM767.12G150300,340.374619978525,81.7726486085902
MgIM767.11G008300,339.895903137268,647.015005883281
MgIM767.07G039300,339.616949471876,45.3191822785767
MgIM767.11G124900,338.314273438072,67.8372828006434
MgIM767.07G068400,338.209468438649,555.034108938532
MgIM767.07G031800,338.10240611087,122.298098524143
MgIM767.07G039000,337.95081409096,0.226565757496289
MgIM767.04G021600,336.828331290219,534.674505933571
MgIM767.04G208600,336.626049331858,18.919120764852
MgIM767.14G209500,336.076467628796,550.084639546479
MgIM767.10G061900,335.604753982798,135.306662693217
MgIM767.10G009200,333.776622796914,153.770419572541
MgIM767.06G069300,333.559221625547,527.832401418905
MgIM767.07G023100,332.88517459321,95.1125271476464
MgIM767.04G144300,332.878290584122,68.6244587785798
MgIM767.06G109100,332.464627775659,407.78988796201
MgIM767.03G024800,330.819827876569,55.0022987968003
MgIM767.06G041600,329.936577513942,237.26782305605
MgIM767.08G098100,329.5614294574,499.110151794976
MgIM767.06G196100,327.846007077607,0.232902244061604
MgIM767.14G117900,325.637468792897,145.028631600195
MgIM767.14G071700,325.265276198218,733.042300912249
MgIM767.11G122700,323.115355698417,83.3141791918685
MgIM767.01G010400,321.050934936474,694.579018105313
MgIM767.07G020700,320.34777225865,374.339280793444
MgIM767.03G087200,318.832427434905,91.6616565946358
MgIM767.02G123800,318.741381163429,116.873600933369
MgIM767.02G017000,318.422632928678,459.692190284626
MgIM767.06G114600,317.842990813802,282.007555782554
MgIM767.08G171700,316.526109262674,45.3973259693961
MgIM767.14G074300,316.489619355239,349.617064635708
MgIM767.11G046700,316.477772875775,175.289457818127
MgIM767.12G024000,316.474300731036,54.4782168422549
MgIM767.04G218600,316.468682372252,322.566587528035
MgIM767.03G045100,315.97087165617,23.4100396470091
MgIM767.11G065800,315.772348807567,48.0736264085389
MgIM767.05G058000,314.459212174966,65.8768405517201
MgIM767.11G068600,314.11130884728,612.103973336374
MgIM767.04G079300,314.04805837063,29.3340902297734
MgIM767.09G120900,313.51762186166,331.288188369074
MgIM767.02G180100,313.467488023587,325.641800855386
MgIM767.08G176300,311.658223662313,483.368721701359
MgIM767.06G028200,310.864588069974,424.264506771271
MgIM767.02G067700,310.099016215897,315.613305477823
MgIM767.13G135800,309.383931559135,160.596238321882
MgIM767.14G106900,308.301260549291,130.14493419603
MgIM767.14G269300,308.227490954932,2.85275938980391
MgIM767.14G261200,308.177879855003,391.216689684001
MgIM767.02G049800,307.93925222521,54.8755841214795
MgIM767.13G036500,307.63364536316,107.786428200483
MgIM767.06G017300,307.627508333802,172.063685631623
MgIM767.07G036700,305.101336618618,1895.31820179685
MgIM767.07G051000,304.117163118271,105.668743101504
MgIM767.06G096200,302.519138064611,845.57347087028
MgIM767.14G254000,302.403621409769,15.2181290658141
MgIM767.10G024100,301.224671574742,77.8628441591789
